Start,arrivals,departures
"Coram Street, Bloomsbury",7041,8257
"Cotton Garden Estate, Kennington",6003,6805
"Courland Grove, Wandsworth Road",7256,7947
"Crabtree Lane, Fulham",6905,7184
"Cranmer Road, Stockwell",11875,11670
"Craven Street, Strand",39591,38871
"Crawford Street, Marylebone",12856,13205
"Crinan Street, King's Cross",7288,7277
"Crisp Road, Hammersmith",14951,14396
"Cromer Street, Bloomsbury",6863,7286
"Crosswall, Tower",39857,37806
"Culvert Road, Battersea",4029,4401
"Curlew Street, Shad Thames",22582,22112
"Curzon Street, Mayfair",9523,8192
"Danvers Street, West Chelsea",8974,9187
"De Vere Gardens, Kensington",12332,13417
"Denyer Street, Knightsbridge",7035,6563
"Derry Street, Kensington",26240,25780
"Devonshire Square, Liverpool Street",15916,15492
"Devonshire Terrace, Bayswater",13659,14976
"Dickens Square, Borough",4876,5438
"Dock Street, Wapping",13255,13261
"Doddington Grove, Kennington",10914,11476
"Doric Way , Somers Town",18182,20952
"Dorothy Road, Clapham Junction",6769,7354
"Dorset Square, Marylebone",15613,15128
"Drayton Gardens, West Chelsea",16734,16769
"Drummond Street , Euston",5924,8184
"Drury Lane, Covent Garden",25451,23254
"Duke Street Hill, London Bridge",45238,42341
"Dunston Road , Haggerston",24507,26660
"Durant Street, Bethnal Green",10214,12068
"Eagle Wharf Road, Hoxton",25412,30410
"Earnshaw Street , Covent Garden",16540,15679
"East India DLR, Blackwall",5799,5160
"East Road, Hoxton",11106,11950
"Eastbourne Mews, Paddington",13590,16080
"Eaton Square (South), Belgravia",6743,6676
"Eaton Square, Belgravia",6722,6841
"Ebury Bridge, Pimlico",10354,11269
"Eccleston Place, Victoria",24776,24279
"Edgware Road Station, Marylebone",9567,12009
"Eel Brook Common, Walham Green",7969,8401
"Elizabeth Bridge, Victoria",19703,17562
"Elysium Place, Fulham",5094,5797
"Embankment (Savoy), Strand",13787,11990
"Emperor's Gate, South Kensington",9508,9678
"Empire Square, The Borough",12477,12442
"Endsleigh Gardens, Euston",21455,23214
"Erin Close, Walham Green",15850,15439
"Ethelburga Estate, Battersea Park",21321,21625
"Euston Road, Euston",11454,12736
"Euston Square Gardens, Euston",8168,8784
