Start,arrivals,departures
"West Smithfield Rotunda, Farringdon",20091,19543
"Westbourne Grove, Bayswater",12047,12574
"Westbourne Park Road, Portobello",7152,7585
"Westbridge Road, Battersea",18316,19034
"Westferry DLR, Limehouse",16801,14342
"Westfield Southern Terrace ,Shepherd's Bush",6982,6210
"Westminster Bridge Road, Elephant & Castle",3717,4019
"Westminster University, Marylebone",9142,9168
"Whiston Road, Haggerston",7349,9099
"Whitehall Place, Strand",34220,31346
"William IV Street, Strand",31196,25531
"William Morris Way, Sands End",10927,10842
"Windsor Terrace, Hoxton",11542,14300
"Winsland Street, Paddington",16331,17219
"Wood Street, Guildhall",9891,9496
"Woodstock Grove, Shepherd's Bush",16898,16422
"Woodstock Street, Mayfair",7431,7283
"World's End Place, West Chelsea",10495,10586
"Wormwood Street, Liverpool Street",47734,45164
"Wren Street, Holborn",16611,17638
"Wright's Lane, Kensington",18030,17422
"York Hall, Bethnal Green",15086,15581
"York Way, Kings Cross",7190,8369
"Bishop's Avenue, Fulham",10235,9929
"Bradmead, Battersea Park",4711,5175
"Charlbert Street, St. John's Wood",6061,6945
"Fisherman's Walk West, Canary Wharf",9784,9731
"Freston Road, Avondale",4043,4015
"Fulham Park Road, Fulham",8523,8914
"Gloucester Road (Central), South Kensington",8976,9005
"Grenfell Road, Avondale",4026,4055
"Gwendwr Road, West Kensington",5909,6164
"King Edward Street, St Pauls",8352,8427
"Little Brook Green, Brook Green",7363,6971
"South Audley Street, Mayfair",5293,4842
"Spencer Park, Wandsworth Common",2534,2824
"St Martins Close, Camden Town",4587,5400
"St. Mark's Road, North Kensington",8963,8930
"The Vale, Chelsea",14421,14334
"Westfield Ariel Way, White City",8595,7837
"Westfield Library Corner, Shepherd's Bush",9347,9033
"Ackroyd Drive, Bow",6045,6764
"Albert Gardens, Stepney",9476,10330
"Alpha Grove, Millwall",3263,3131
"Antill Road, Mile End",7832,8707
"Aylward Street, Stepney",6569,7652
"Bromley High Street, Bow",4381,4428
"Cadogan Close, Victoria Park",15071,15256
"Canton Street, Poplar",3794,3981
"Castalia Square, Cubitt Town",687,622
"Chrisp Street Market, Poplar",5420,5262
"Copper Box Arena, Queen Elizabeth Olympic Park",3303,3234
"Devons Road, Bow",7093,7276
"Driffield Road, Old Ford",11662,12059
"East Ferry Road, Cubitt Town",3124,2935
"East Village, Queen Elizabeth Olympic Park",11775,11559
"Gunmakers Lane, Old Ford",11247,11745
"Here East South, Queen Elizabeth Olympic Park",4499,4286
"Hermitage Court, Wapping",8511,9193
"Heron Quays DLR, Canary Wharf",5185,5075
"Lindfield Street, Poplar",7586,7749
"Merchant Street, Bow",5120,5631
"Mile End Park Leisure Centre, Mile End",7970,8653
"Mile End Stadium, Mile End",10027,10670
"Millharbour, Millwall",2085,2008
"Monier Road, Hackney Wick",13537,13511
"Naval Row, Blackwall",4173,4112
"New Inn Yard, Shoreditch",18604,17892
"Newby Place, Poplar",3597,3435
"Pennington Street, Wapping",4980,5734
"Podium, Queen Elizabeth Olympic Park",17380,17016
"Preston's Road, Cubitt Town",3003,2961
"Rectory Square, Stepney",5858,6612
"South Quay East, Canary Wharf",857,752
"Stainsby Road , Poplar",6211,6624
"Stratford Station, Stratford",11339,10987
"Twig Folly Bridge, Mile End",12263,13320
"Westferry Circus, Canary Wharf",15404,14682
"Aintree Street, Fulham",10431,11009
"Alma Road, Wandsworth",3030,4106
"Barons Court Station, West Kensington",15487,16626
"Disraeli Road, Putney",6134,5657
"Finlay Street, Fulham",11459,11661
"Ford Road, Old Ford",7741,8128
"Goswell Road (City Uni), Finsbury",6877,7972
"Nevern Place, Earl's Court",7121,7750
"Oxford Road, Putney",3464,3350
"Parsons Green Station, Parsons Green",19718,20281
"Putney Pier, Wandsworth",10598,9690
"Queensbridge Road, Haggerston",6624,8246
"Rainville Road, Hammersmith",11014,11162
"South Park, Sands End",11547,12037
"Blythe Road West, Shepherd's Bush",5302,5526
"Hansard Mews, Holland Park",7177,6593
"Humbolt Road, Fulham",8790,9481
"Manbre Road, Hammersmith",5197,5438
"Russell Gardens, Olympia",4225,4383
"Timber Lodge, Queen Elizabeth Olympic Park",11560,11660
"Lee Valley VeloPark, Queen Elizabeth Olympic Park",11111,11258
"Thurtle road, Haggerston",4846,6398
"Hampstead Road (Cartmel), Euston",3710,4433
"Jubilee Crescent, Cubitt Town",2686,2675
