mth_idx,month,date,t_ave,rain_ave_mm
1,Jan,2019-01-01,4.8,59
2,Feb,2019-02-01,4.9,50
3,Mar,2019-03-01,6.7,47
4,Apr,2019-04-01,9.4,54
5,May,2019-05-01,12.7,57
6,Jun,2019-06-01,15.7,60
7,Jul,2019-07-01,17.8,59
8,Aug,2019-08-01,17.3,65
9,Sep,2019-09-01,15,51
10,Oct,2019-10-01,11.8,60
11,Nov,2019-11-01,7.8,67
12,Dec,2019-12-01,5.3,61
